Date,Average Sentiment Score
2021-07-18,0.755132985
2021-07-19,0.48573992
2021-07-20,0.212749974
2021-07-21,0.013217509
2021-07-22,0.622673647
2021-07-23,0.697735592
2021-07-24,0.409816718
2021-07-25,0.866268577
2021-07-26,0.797633865
2021-07-27,0.414561481
2021-07-28,0.875339433
2021-07-29,0.804131532
2021-07-30,-0.065473735
2021-07-31,0.444494702
2021-08-01,0.689538388
2021-08-02,0.451494207
2021-08-03,0.432026431
2021-08-04,0.022645205
2021-08-05,0.579977086
2021-08-06,0.285134264
2021-08-07,0.388796453
2021-08-08,-0.269627249
2021-08-09,0.063969545
2021-08-10,-0.069593541
2021-08-11,-0.173084705
2021-08-12,0.104530545
2021-08-13,0.116151943
2021-08-14,0.024499969
